Insee,Nom,Altitude,code_postal,longitude_radian,latitude_radian,pop99,surface
1072,Ceyzériat,300,1250,0.092900005,0.805983333,2390,9.22
1073,Ceyzérieu,270,1350,0.099954028,0.799986227,814,19.77
1074,Chalamont,300,1320,0.090267454,0.802788406,1658,33.02
1075,Chaleins,240,1480,0.083843676,0.803418709,1025,17.11
1076,Chaley,440,01230|01970,0.096550633,0.802056369,106,4.67
1077,Challes-la-Montagne,500,1450,0.095353151,0.805057352,200,7.82
1078,Challex,490,1630,0.104278569,0.806002774,1057,8.79
1079,Champagne-en-Valromey,0,01260|01110,0.099124995,0.801183718,674,18.22
1080,Champdor,826,1110,0.097660872,0.803176295,425,17.36
1081,Champfromier,700,1410,0.10142302,0.806269357,593,31.86
1082,Chanay,490,1420,0.100933364,0.802962976,573,18.42
1083,Chaneins,260,1990,0.084667858,0.80456287,560,12.72
1084,Chanoz-Châtenay,257,1400,0.087736727,0.806080339,492,13.38
1085,La Chapelle-du-Châtelard,275,1240,0.087707649,0.804082902,263,13.65
1087,Charix,780,1130,0.099168629,0.806060898,265,18.61
1088,Charnoz-sur-Ain,229,1800,0.091169209,0.800611604,810,6.53
1089,Château-Gaillard,230,1500,0.092565471,0.802376348,1370,16.12
1090,Châtenay,300,1320,0.090766822,0.803472039,308,15.22
1091,Châtillon-en-Michaille,540,1200,0.101185466,0.805372471,2641,37.71
1092,Châtillon-la-Palud,312,1320,0.091629786,0.802405443,1074,14.1
1093,Châtillon-sur-Chalaronne,230,1400,0.086495602,0.804974927,4137,17.98
1094,Chavannes-sur-Reyssouze,183,1190,0.087116169,0.810346656,580,16.54
1095,Chavannes-sur-Suran,320,1250,0.094684115,0.807462054,485,21.79
1096,Chaveyriat,245,1660,0.088323363,0.806332407,810,16.82
1097,Chavornay,431,1510,0.099769813,0.800781314,174,7.82
1098,Chazey-Bons,236,1300,0.099173481,0.799418974,664,10.75
1099,Chazey-sur-Ain,230,1150,0.091731593,0.800989773,1200,22.22
1100,Cheignieu-la-Balme,343,1510,0.09788873,0.799835892,112,5.97
1101,Chevillard,841,1430,0.097399075,0.804771329,132,6.67
1102,Chevroux,200,1190,0.08633563,0.80949338,657,17.23
1103,Chevry,490,1170,0.105393643,0.807767452,803,5.79
1104,Chézery-Forens,600,01200|01410,0.102358705,0.80672509,369,46.54
1105,Civrieux,290,1390,0.085210852,0.801479462,1079,20.25
1106,Cize,321,1250,0.095028329,0.806443927,127,4.51
1107,Cleyzieu,594,1230,0.094776227,0.801237048,116,7.68
1108,Coligny,294,1270,0.093282993,0.80956129,1091,16.92
1109,Collonges,500,1550,0.103008358,0.805275532,1106,16.26
1110,Colomieu,330,1300,0.098116597,0.798202109,128,5.83
1111,Conand,420,1230,0.09552768,0.800980053,69,15.3
1112,Condamine,580,1430,0.096860925,0.804771329,285,4.55
1113,Condeissiat,240,1400,0.08863363,0.805619745,649,21.74
1114,Confort,561,1200,0.101597557,0.805483991,499,11.25
1115,Confrançon,200,1310,0.088400928,0.807529898,862,18.19
1116,Contrevoz,360,1300,0.0982475,0.799486818,430,14.24
1117,Conzieu,350,1300,0.0978548,0.798090589,100,7.09
1118,Corbonod,351,1420,0.101384237,0.802337532,898,32.09
1119,Corcelles,843,1110,0.097277859,0.803510788,221,14.21
1121,Corlier,780,1110,0.095939771,0.803404128,73,5.57
1122,Cormaranche-en-Bugey,860,1110,0.097951756,0.802041788,726,19.02
1123,Cormoranche-sur-Saône,175,1290,0.084299402,0.807049929,904,10.02
1124,Cormoz,210,1560,0.091285605,0.810676289,512,19.65
1125,Corveissiat,460,1250,0.095668286,0.807108119,469,22.96
1127,Courmangoux,290,1370,0.093690248,0.808640169,360,15.05
1128,Courtes,210,1560,0.08897786,0.810894535,218,8.95
1129,Crans,310,1320,0.091018923,0.802172683,258,13.26
1130,Cras-sur-Reyssouze,198,1340,0.090141403,0.808242559,907,13.87
1133,Cressin-Rochefort,270,1350,0.100560056,0.798977822,308,7.74
1134,Crottet,200,01620|01290|01750,0.085399936,0.807689887,1477,12.17
1135,Crozet,560,1170,0.104937918,0.807752937,1349,27.28
1136,Cruzilles-lès-Mépillat,215,1290,0.085176921,0.80677842,651,11.9
1138,Culoz,255,1350,0.10092366,0.800238296,2622,19.15
1139,Curciat-Dongalon,216,1560,0.089971727,0.811117508,404,23.97
1140,Curtafond,220,1310,0.088813019,0.807592948,590,12.76
1141,Cuzieu,332,1300,0.099226819,0.799680763,304,4.84
1142,Dagneux,195,1120,0.088623942,0.800257737,3757,6.86
1143,Divonne-les-Bains,490,1220,0.107575305,0.80938672,6171,33.8
1144,Dommartin,207,1380,0.087082222,0.808741969,600,17.21
1145,Dompierre-sur-Veyle,285,1240,0.090829847,0.804136231,968,29.2
1146,Dompierre-sur-Chalaronne,246,1400,0.08555023,0.805357957,279,4.7
1147,Domsure,220,1270,0.092400646,0.810162432,403,15.21
1148,Dortan,310,1590,0.098756538,0.80847532,2186,18.69
1149,Douvres,270,1500,0.093821151,0.802628416,646,5.25
1150,Drom,325,1250,0.093641762,0.806671761,160,7.81
1151,Druillat,270,1160,0.092769103,0.803903538,882,20.83
1152,Échallon,750,1130,0.100152808,0.806531212,663,28.1
1153,Échenevex,570,1170,0.10542759,0.80824742,1197,16.51
1154,Étrez,220,1340,0.090514712,0.808698293,642,12.31
1155,Évosges,750,1230,0.095993109,0.802148448,109,11.97
1156,Faramans,276,1800,0.089486906,0.801159483,592,11.23
1157,Fareins,197,1480,0.083097059,0.80320053,1684,8.31
1158,Farges,510,1550,0.103066548,0.805828204,594,14.31
1159,Feillens,180,1570,0.085332059,0.808717667,2933,14.87
